Textbox8,tbToday,Textbox2
Instrument Location Counts,Report Generated: 9/28/2012,Total Instruments (771)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeType,LNode_NodeSequence,InstrumentCount
RS03AXVM-SF03A,Axial Mooring,03,AXVM,SF (Shallow Profiler Science Float),03A,10
RS03ECAL-MJ03E,Eastern Caldera,03,ECAL,MJ (MP Jbox),03E,5
RS03CCAL-MJ03F,Central Caldera,03,CCAL,MJ (MP Jbox),03F,3
GA02HYPM-MP003,Argentine Basin Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GI02HYPM-MP003,Irminger Sea Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GP02HYPM-MP003,Station Papa Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
GS02HYPM-MP003,Southern Ocean Hybrid Profiler,02,HYPM,MP (Mid-Water Platform),003,1
CE02SHBP-LJ01D,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,9
CE04OSBP-LJ01C,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,8
RS03INT2-MJ03D,International District 2,03,INT2,MJ (MP Jbox),03D,7
GA02HYPM-WF004,Argentine Basin Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),004,4
GP02HYPM-WF004,Station Papa Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),004,4
GS02HYPM-WF004,Southern Ocean Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),004,4
CE02SHBP-MJ01C,Endurance OR Shelf Benthic Pkg,02,SHBP,MJ (MP Jbox),01C,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,3
RS03ASHS-ID03A,Ashes,03,ASHS,ID (IF box HD camera),03A,1
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,4

