__pk_ResourceAttribute_ID,Information Level,_fk_ObjectType_ID,_fk_ResourceType_ID,Base Attribute,CI ID,Default Widget ID,Description,Name
"2010057","2","2480184","2190012","","2010057","2130023","","survival_depth_maximum"
"2010182","4","2480187","2190020","","2010182","2130023","time source used by the agent","time_source"
"2010005","0","2480187","2190011","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010695","0","2480187","2190010","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010712","0","2480187","2190071","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010750","0","2480187","2190014","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010768","0","2480187","2190045","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010787","0","2480187","2190059","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010883","0","2480187","2190012","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010901","0","2480187","2190015","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010919","0","2480187","2190016","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010937","0","2480187","2190017","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010971","0","2480187","2190022","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2010988","0","2480187","2190025","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011059","0","2480187","2190029","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011092","0","2480187","2190032","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011127","0","2480187","2190037","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011144","0","2480187","2190038","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011233","0","2480187","2190043","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011250","0","2480187","2190044","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011283","0","2480187","2190058","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
"2011336","0","2480187","2190062","2012437","","2130023","timestamp resource was created, in ""internal"" format, not user-readable format","ts_created"
