__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2034387","2010695","2162450","Resource Attribute"
"2034389","2010750","2162452","Resource Attribute"
"2034390","2010768","2162453","Resource Attribute"
"2034391","2010787","2162454","Resource Attribute"
"2034395","2010883","2162458","Resource Attribute"
"2034396","2010901","2162459","Resource Attribute"
"2034397","2010919","2162460","Resource Attribute"
"2034398","2010937","2162461","Resource Attribute"
"2034400","2010971","2162463","Resource Attribute"
"2034401","2010988","2162464","Resource Attribute"
"2034402","2011006","2162465","Resource Attribute"
"2034403","2011024","2162466","Resource Attribute"
"2034404","2011042","2162467","Resource Attribute"
"2034405","2011059","2162468","Resource Attribute"
"2034407","2011092","2162470","Resource Attribute"
"2034409","2011127","2162472","Resource Attribute"
"2034410","2011144","2162473","Resource Attribute"
"2034415","2011233","2162478","Resource Attribute"
"2034416","2011250","2162479","Resource Attribute"
"2034418","2011283","2162481","Resource Attribute"
"2034421","2011336","2162484","Resource Attribute"
"2034423","2011372","2162486","Resource Attribute"
"2034425","2011408","2162488","Resource Attribute"
"2034430","2011498","2162493","Resource Attribute"
"2034435","2011588","2162498","Resource Attribute"
"2034437","2011624","2162500","Resource Attribute"
"2034439","2011660","2162502","Resource Attribute"
"2034445","2011768","2162508","Resource Attribute"
"2034447","2011822","2162510","Resource Attribute"
"2034449","2011858","2162512","Resource Attribute"
"2034450","2011884","2162513","Resource Attribute"
"2034451","2011910","2162514","Resource Attribute"
"2034452","2011936","2162515","Resource Attribute"
"2034453","2011954","2162516","Resource Attribute"
"2034454","2011971","2162517","Resource Attribute"
"2034456","2012048","2162519","Resource Attribute"
"2034457","2012066","2162520","Resource Attribute"
"2034458","2012084","2162521","Resource Attribute"
"2034459","2012102","2162522","Resource Attribute"
"2034460","2012120","2162523","Resource Attribute"
"2034461","2012138","2162524","Resource Attribute"
"2034463","2012174","2162526","Resource Attribute"
"2034464","2012192","2162527","Resource Attribute"
"2034465","2012210","2162528","Resource Attribute"
"2034466","2012228","2162529","Resource Attribute"
"2034467","2012246","2162530","Resource Attribute"
"2034468","2012264","2162531","Resource Attribute"
"2034469","2012437","2162532","Resource Attribute"
"2034508","2010006","2162571","Resource Attribute"
"2034509","2010696","2162572","Resource Attribute"
"2034511","2010751","2162574","Resource Attribute"
"2034512","2010769","2162575","Resource Attribute"
"2034513","2010788","2162576","Resource Attribute"
"2034517","2010884","2162580","Resource Attribute"
"2034518","2010902","2162581","Resource Attribute"
"2034519","2010920","2162582","Resource Attribute"
"2034520","2010938","2162583","Resource Attribute"
"2034522","2010972","2162585","Resource Attribute"
"2034523","2010989","2162586","Resource Attribute"
"2034524","2011007","2162587","Resource Attribute"
"2034525","2011025","2162588","Resource Attribute"
"2034526","2011043","2162589","Resource Attribute"
"2034527","2011060","2162590","Resource Attribute"
"2034529","2011093","2162592","Resource Attribute"
"2034531","2011128","2162594","Resource Attribute"
"2034532","2011145","2162595","Resource Attribute"
"2034537","2011234","2162600","Resource Attribute"
"2034538","2011251","2162601","Resource Attribute"
"2034540","2011284","2162603","Resource Attribute"
"2034543","2011337","2162606","Resource Attribute"
"2034545","2011373","2162608","Resource Attribute"
"2034547","2011409","2162610","Resource Attribute"
"2034552","2011499","2162615","Resource Attribute"
"2034557","2011589","2162620","Resource Attribute"
"2034559","2011625","2162622","Resource Attribute"
"2034561","2011661","2162624","Resource Attribute"
"2034567","2011769","2162630","Resource Attribute"
"2034569","2011823","2162632","Resource Attribute"
"2034571","2011859","2162634","Resource Attribute"
"2034572","2011885","2162635","Resource Attribute"
"2034573","2011911","2162636","Resource Attribute"
"2034574","2011937","2162637","Resource Attribute"
"2034575","2011955","2162638","Resource Attribute"
"2034576","2011972","2162639","Resource Attribute"
"2034578","2012049","2162641","Resource Attribute"
"2034579","2012067","2162642","Resource Attribute"
"2034580","2012085","2162643","Resource Attribute"
"2034581","2012103","2162644","Resource Attribute"
"2034582","2012121","2162645","Resource Attribute"
"2034583","2012139","2162646","Resource Attribute"
"2034585","2012175","2162648","Resource Attribute"
"2034586","2012193","2162649","Resource Attribute"
"2034587","2012211","2162650","Resource Attribute"
"2034588","2012229","2162651","Resource Attribute"
"2034589","2012247","2162652","Resource Attribute"
"2034590","2012265","2162653","Resource Attribute"
"2034591","2012438","2162654","Resource Attribute"
"2034631","2010689","2162694","Resource Attribute"
"2034632","2010708","2162695","Resource Attribute"
"2034635","2010762","2162698","Resource Attribute"
"2034636","2010781","2162699","Resource Attribute"
"2034637","2010800","2162700","Resource Attribute"
"2034642","2010896","2162705","Resource Attribute"
"2034643","2010914","2162706","Resource Attribute"
"2034644","2010932","2162707","Resource Attribute"
"2034645","2010949","2162708","Resource Attribute"
"2034647","2010984","2162710","Resource Attribute"
"2034648","2011001","2162711","Resource Attribute"
"2034649","2011019","2162712","Resource Attribute"
"2034650","2011037","2162713","Resource Attribute"
"2034651","2011054","2162714","Resource Attribute"
"2034652","2011072","2162715","Resource Attribute"
"2034654","2011105","2162717","Resource Attribute"
"2034656","2011139","2162719","Resource Attribute"
"2034657","2011157","2162720","Resource Attribute"
"2034662","2011246","2162725","Resource Attribute"
"2034663","2011263","2162726","Resource Attribute"
"2034665","2011296","2162728","Resource Attribute"
"2034668","2011349","2162731","Resource Attribute"
"2034670","2011385","2162733","Resource Attribute"
"2034672","2011421","2162735","Resource Attribute"
"2034677","2011511","2162740","Resource Attribute"
"2034682","2011601","2162745","Resource Attribute"
"2034684","2011637","2162747","Resource Attribute"
"2034686","2011673","2162749","Resource Attribute"
"2034692","2011781","2162755","Resource Attribute"
"2034694","2011835","2162757","Resource Attribute"
"2034696","2011871","2162759","Resource Attribute"
"2034697","2011897","2162760","Resource Attribute"
"2034698","2011923","2162761","Resource Attribute"
"2034699","2011949","2162762","Resource Attribute"
"2034700","2011967","2162763","Resource Attribute"
"2034701","2011984","2162764","Resource Attribute"
"2034704","2012061","2162767","Resource Attribute"
"2034705","2012079","2162768","Resource Attribute"
"2034706","2012097","2162769","Resource Attribute"
"2034707","2012115","2162770","Resource Attribute"
"2034708","2012133","2162771","Resource Attribute"
"2034709","2012151","2162772","Resource Attribute"
"2034711","2012187","2162774","Resource Attribute"
"2034712","2012205","2162775","Resource Attribute"
"2034713","2012223","2162776","Resource Attribute"
"2034714","2012241","2162777","Resource Attribute"
"2034715","2012259","2162778","Resource Attribute"
"2034716","2012277","2162779","Resource Attribute"
"2034756","2490861","2162819","Object Field"
"2034759","2010267","2162822","Resource Attribute"
"2034883","2010217","2162946","Resource Attribute"
"2034887","2010533","2162950","Resource Attribute"
"2034888","2012771","2162951","Resource Attribute"
"2034889","2012789","2162952","Resource Attribute"
"2034892","2490859","2162955","Object Field"
"2034903","2010069","2162966","Resource Attribute"
"2034904","2012917","2162967","Resource Attribute"
"2034905","2012923","2162968","Resource Attribute"
"2034906","2012928","2162969","Resource Attribute"
"2034907","2012934","2162970","Resource Attribute"
"2034908","2012940","2162971","Resource Attribute"
"2034909","2010070","2162972","Resource Attribute"
"2034910","2010364","2162973","Resource Attribute"
"2034911","2012918","2162974","Resource Attribute"
"2034912","2012929","2162975","Resource Attribute"
"2034913","2012935","2162976","Resource Attribute"
