__pk_ScreenElement_ID,_fk_Graphic_ID,_fk_HelpTag_ID,_fk_MessageString_ID,_fk_ScreenLabel_ID,_fk_State_ID,_fk_Widget_ID,Default Value,Description,Name
"2163166","","2290875","","2090091","","2130013","","","-Status BBB"
"2163167","","2290875","","2090092","","2130013","","","-Related BBB"
"2163168","","2290875","","2090484","","2130013","","","-Dashboard BBB"
"2163179","","2290875","","2090546","","2130013","","7/25 Need to add a Click action (DB not allowing it","-Representation MB"
"2163180","","2290875","","2090546","","2130012","","","-Representation CTLs M"
"2163181","","2290875","","2090139","","2130013","","","-Attribute Group MB"
"2163182","","2290875","","2090550","","2130013","","","-Table MB"
"2163183","","2290875","","2090547","","2130013","","","-Chart MB"
"2163184","","2290875","","2090570","","2130013","","7-25 Can't put in actions","-Graph MB"
"2163185","","2290875","","2090548","","2130013","","","-Text MB"
"2163188","","2290875","","2090389","","2130013","","","-Show/Hide Blocks CTLs MB"
"2163189","","2290875","","2090497","","2130013","","","-Group Actions MB"
"2163193","","2290875","","2090497","","2130013","","","-View Actions MB"
"2163196","","2290875","","2090497","","2130013","","","-Block Actions MB"
"2163197","","2290984","","2090571","","2130028","","","-Menu Divider"
"2163198","","2290875","","2090389","","2130013","","","-More Information MB"
"2163199","","2290875","","2090499","","2130013","","","-Detailed View MB"
"2163200","","2290875","","2090498","","2130013","","","-Edit MB"
"2163202","","2290875","","2090540","","2130013","","","-Subscribe MB"
"2163203","","2290875","","2090541","","2130013","","","-Unsubscribe MB"
"2163206","","2290876","","2090389","","2130013","","","-Direct Command MB"
"2163207","","2290875","","2090389","","2130013","","","-Command MB"
"2163272","","2290503","","2090005","","2130033","","","description [InformationResource] (text_extended)"
"2163278","","2290493","","2090003","","2130023","","","_id [InformationResource] (text_short)"
"2163282","","2290504","","2090006","","2130023","","","lcstate [InformationResource] (text_short)"
"2163283","","2290481","","2090032","","2130023","","","manufacturer [SensorModel] (text_short)"
"2163293","","2290495","","2090004","","2130023","","","name [InformationResource] (text_short)"
"2163294","","2290495","","2090004","","2130023","","","name [Collection] (text_short)"
"2163314","","2290513","","2090105","","2130023","","","recent_events [InformationResource] (text_short)"
"2163317","","2290505","","2090007","","2130023","","","ts_created [InformationResource] (text_short)"
"2163318","","2290506","","2090724","","2130023","","","ts_updated [InformationResource] (text_short)"
"2163319","","2290494","","2090337","","2130023","","","type_ [InformationResource] (text_short)"
"2163320","","2290665","","2090800","","2130023","","","standard_name [Parameter] (text_short)"
"2163322","2110112","2290603","","2090389","","2130048","","","power_status_roll_up [Observatory] (icon)"
"2163323","2110111","2290596","","2090389","","2130048","","","communications_status_roll_up [Observatory] (icon)"
"2163324","2110114","2290601","","2090389","","2130048","","","location_status_roll_up [Observatory] (icon)"
"2163326","","2290473","","2090370","","2130023","","","url [Org] (text_short)"
"2163327","","2290515","","2090677","","2130023","","","stored_data_size [DataProduct] (text_short)"
"2163328","","2290516","","2090255","","2130023","","","product_download_size_estimated [DataProduct] (text_short)"
"2163330","2110112","2290517","","2090389","","2130048","","","power_status_roll_up [PlatformDevice] (icon)"
"2163331","2110111","2290518","","2090389","","2130048","","","communications_status_roll_up [PlatformDevice] (icon)"
"2163332","2110113","2290519","","2090389","","2130048","","","data_status_roll_up [PlatformDevice] (icon)"
"2163333","2110114","2290520","","2090389","","2130048","","","location_status_roll_up [PlatformDevice] (icon)"
"2163335","","2290521","","2090708","","2130023","","","hardware_version [InstrumentDevice] (text_short)"
"2163336","","2290522","","2090725","","2130023","","","last_calibration_datetime [InstrumentDevice] (text_short)"
"2163343","","2290512","","2090697","","2130023","","","height [InstrumentModel] (text_short)"
"2163344","","2290510","","2090698","","2130023","","","length [InstrumentModel] (text_short)"
"2163345","","2290481","","2090032","","2130023","","","manufacturer [InstrumentModel] (text_short)"
"2163346","","2290495","","2090004","","2130023","","","model [InstrumentModel] (text_short)"
"2163347","","2290511","","2090696","","2130023","","","width [InstrumentModel] (text_short)"
"2163348","","2290512","","2090697","","2130023","","","height [PlatformModel] (text_short)"
"2163349","","2290510","","2090698","","2130023","","","length [PlatformModel] (text_short)"
"2163350","","2290481","","2090032","","2130023","","","manufacturer [PlatformModel] (text_short)"
"2163351","","2290495","","2090019","","2130023","","","model [PlatformModel] (text_short)"
"2163352","","2290511","","2090696","","2130023","","","width [PlatformModel] (text_short)"
"2163353","","2290512","","2090697","","2130023","","","height [SensorModel] (text_short)"
"2163354","","2290510","","2090698","","2130023","","","length [SensorModel] (text_short)"
"2163355","","2290495","","2090019","","2130023","","","model [SensorModel] (text_short)"
"2163356","","2290511","","2090696","","2130023","","","width [SensorModel] (text_short)"
"2163362","","2290512","","2090697","","2130023","","","height [DataSourceModel] (text_short)"
"2163363","","2290510","","2090698","","2130023","","","length [DataSourceModel] (text_short)"
"2163364","","2290481","","2090032","","2130023","","","manufacturer [DataSourceModel] (text_short)"
"2163366","","2290511","","2090696","","2130023","","","width [DataSourceModel] (text_short)"
"2163376","","2290488","","2090712","","2130042","","","reference_urls [InstrumentDevice] (list)"
"2163380","","2290488","","2090721","","2130042","","","reference_urls [PlatformDevice] (list)"
"2163382","","2290503","","2090005","","2130033","","","description [DataProductVersion] (text_extended)"
"2163383","","2290493","","2090003","","2130023","","","_id [DataProductVersion] (text_short)"
"2163384","","2290504","","2090006","","2130023","","","lcstate [DataProductVersion] (text_short)"
"2163385","","2290495","","2090004","","2130023","","","name [DataProductVersion] (text_short)"
"2163387","","2290513","","2090105","","2130023","","","recent_events [DataProductVersion] (text_short)"
"2163388","","2290505","","2090007","","2130023","","","ts_created [DataProductVersion] (text_short)"
"2163389","","2290506","","2090724","","2130023","","","ts_updated [DataProductVersion] (text_short)"
"2163390","","2290494","","2090337","","2130023","","","type_ [DataProductVersion] (text_short)"
"2163480","","2290836","","2090147","","2130026","","","Policies [DataProduct] (block)"
"2163481","","2290990","","2090572","","2130034","","","Attachments (table)"
"2163483","","2290881","","2090572","","2130026","","need attributes for file name, file type, date created, date modified, Created By, Modified By, Size","Attachments [Org] (block)"
"2163484","","2290881","","2090572","","2130026","","list of attachments by file name, type","Attachments [InstrumentDevice] (block)"
"2163565","","2290866","","2090389","","2130026","","","Title Bar [Org] (block)"
"2160029","2110057","2290533","","2090361","","2130048","","","aggregated_status [InstrumentDevice] (icon)"
"2161070","","2290504","","2090006","","2130023","","","lcstate [InstrumentDevice] (text_short)"
"2161395","","2290495","","2090004","","2130023","","","name [InstrumentDevice] (text_short)"
"2162693","","2290494","","2090337","","2130023","","","type_ [InstrumentDevice] (text_short)"
"2163024","","2291006","","2090264","","2130034","","list of instruments attached to this platformdeviceone instrument per line in the table","Instruments (table)"
"2163130","","2290809","","2090264","","2130025","","","Instruments (group)"
"2163568","","2290861","","2090389","","2130026","","delete?","Status Bar Text [Org] (block)"
"2163569","","2290840","","2090146","","2130026","","","Power Status Overview [PlatformDevice] (block)"
"2163570","","2290784","","2090386","","2130026","","displays rollup values over timeneed rollup inputs, algorithm, and attributes","Communications Status Overview [PlatformDevice] (block)"
"2163571","","2290816","","2090027","","2130026","","","Location Status Overview [PlatformDevice] (block)"
"2163572","","2290799","","2090097","","2130026","","","Data Status Overview [PlatformDevice] (block)"
"2163573","","2290811","","2090789","","2130026","","","Latest Message [PlatformDevice] (block)"
"2163575","","2291001","","2090097","","2130034","","List of tests, one per lineColumn headers: Test Name, Num Data Products Failing","Data Product Status Overview (table)"
"2163581","","2290491","","2090475","","2130033","","","acknowledgement [DataProduct] (text_extended)"
"2163582","","2290486","","2090868","","2130023","","","active_user_subscriptions [DataProduct] (text_short)"
"2163585","","2290449","","2090052","","2130023","","","clock_max_drift [InstrumentModel] (text_short)"
"2163593","","2290478","","2090726","","2130023","","","dataset_path [ExternalDataset] (text_short)"
"2163607","","2290475","","2090020","","2130023","","","firmware_version [SensorDevice] (text_short)"
"2163609","","2290627","","2090471","","2130031","","","geospatial_bounds [Site] (extent_geospatial)"
