Textbox8,tbToday
Node Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Node,Node_Type,Node_Site_Sequence,Attribute,AttributeValue
CE09OSSM-RI002,RI,002,depth_port_max,
CE09OSSM-RI002,RI,002,depth_port_min,
CE09OSSM-RI002,RI,002,depth_subsite,542
CE09OSSM-RI002,RI,002,First Deployment Date,2014-10
CE09OSSM-RI002,RI,002,latitude,46.85
CE09OSSM-RI002,RI,002,longitude,124.97
CE09OSSM-RI002,RI,002,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI002,RI,002,Relative Depth,
CE09OSSM-RI003,RI,003,depth_port_max,
CE09OSSM-RI003,RI,003,depth_port_min,
CE09OSSM-RI003,RI,003,depth_subsite,542
CE09OSSM-RI003,RI,003,First Deployment Date,2014-10
CE09OSSM-RI003,RI,003,latitude,46.85
CE09OSSM-RI003,RI,003,longitude,124.97
CE09OSSM-RI003,RI,003,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-RI003,RI,003,Relative Depth,
CE09OSSM-SB001,SB,001,depth_port_max,
CE09OSSM-SB001,SB,001,depth_port_min,
CE09OSSM-SB001,SB,001,depth_subsite,542
CE09OSSM-SB001,SB,001,First Deployment Date,2014-10
CE09OSSM-SB001,SB,001,latitude,46.85
CE09OSSM-SB001,SB,001,longitude,124.97
CE09OSSM-SB001,SB,001,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-SB001,SB,001,Relative Depth,
CP01CNSM-MF004,MF,004,depth_port_max,
CP01CNSM-MF004,MF,004,depth_port_min,
CP01CNSM-MF004,MF,004,depth_subsite,133
CP01CNSM-MF004,MF,004,First Deployment Date,2013-11
CP01CNSM-MF004,MF,004,latitude,40.14
CP01CNSM-MF004,MF,004,longitude,70.78
CP01CNSM-MF004,MF,004,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF004,MF,004,Relative Depth,
CP01CNSM-MF005,MF,005,depth_port_max,
CP01CNSM-MF005,MF,005,depth_port_min,
CP01CNSM-MF005,MF,005,depth_subsite,133
CP01CNSM-MF005,MF,005,First Deployment Date,2013-11
CP01CNSM-MF005,MF,005,latitude,40.14
CP01CNSM-MF005,MF,005,longitude,70.78
CP01CNSM-MF005,MF,005,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-MF005,MF,005,Relative Depth,
CP01CNSM-RI002,RI,002,depth_port_max,
CP01CNSM-RI002,RI,002,depth_port_min,
CP01CNSM-RI002,RI,002,depth_subsite,133
CP01CNSM-RI002,RI,002,First Deployment Date,2013-11
CP01CNSM-RI002,RI,002,latitude,40.14
CP01CNSM-RI002,RI,002,longitude,70.78
CP01CNSM-RI002,RI,002,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CP01CNSM-RI002,RI,002,Relative Depth,
CP01CNSM-RI003,RI,003,depth_port_max,
CP01CNSM-RI003,RI,003,depth_port_min,
CP01CNSM-RI003,RI,003,depth_subsite,133
