Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE02SHSM-SB001-04-FDCHPA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,SB(Surface Buoy),FDCHP,Direct Covariance Flux,Measures vertical fluxes associated with eddies in the flow over the ocean,WHOI,DCFS,Direct Covariance Flux of Heat; Direct Covariance Flux of Momentum; Platform Direction and Tilt (3 axes); Turbulent Air Temperature; Wind Velocity in 3 Dimensions,~3m above sea surface,-3,-3
CE02SHSM-SB001-05-VELPTA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,SB(Surface Buoy),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,1m below sea surface,1,1
CE02SHSM-SB001-06-WAVSSA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,SB(Surface Buoy),WAVSS,Surface Wave Spectra,"Non-directional and directional wave characteristics, SurfaceWave Spectra",Axys Technologies,TRIAXYS,Wave Spectral Properties,Sea Surface,0,0
CE02SHSP-SP001-01-CTDPFJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),CTDPF,CTD Profiler,CTDs to be mounted on a profiler,Sea-Bird,FastCAT 49 CTD,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-01-DOSTAJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-02-VELPTJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp HR,Mean Point Water Velocity,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-04-OPTAAJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-05-NUTNRJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,SUNA V2,Nitrate Concentration,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-06-SPKIRJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,Sea surface to 2m above bottom,0,78
CE02SHSP-SP001-07-FLORTJ999,CE,CE02SHSP,Endurance OR Shelf Surface Piercing Profiler Mooring (cabled),SP(Surface-Piercing Profiler),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,Sea surface to 2m above bottom,0,78
