Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE02SHSM-RI003-04,latitude,44.64
CE02SHSM-RI003-04,longitude,124.31
CE02SHSM-RI003-04,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI003-04,Relative Depth,5m below sea surface
CE02SHSM-RI003-05,depth_port_max,5
CE02SHSM-RI003-05,depth_port_min,5
CE02SHSM-RI003-05,depth_subsite,80
CE02SHSM-RI003-05,First Deployment Date,2014-10
CE02SHSM-RI003-05,latitude,44.64
CE02SHSM-RI003-05,longitude,124.31
CE02SHSM-RI003-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI003-05,Relative Depth,5m below sea surface
CE02SHSM-SB001-01,depth_port_max,-3
CE02SHSM-SB001-01,depth_port_min,-3
CE02SHSM-SB001-01,depth_subsite,80
CE02SHSM-SB001-01,First Deployment Date,2014-10
CE02SHSM-SB001-01,latitude,44.64
CE02SHSM-SB001-01,longitude,124.31
CE02SHSM-SB001-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-SB001-01,Relative Depth,~3m above sea surface
CE02SHSM-SB001-03,depth_port_max,0
CE02SHSM-SB001-03,depth_port_min,0
CE02SHSM-SB001-03,depth_subsite,80
CE02SHSM-SB001-03,First Deployment Date,2014-10
CE02SHSM-SB001-03,latitude,44.64
CE02SHSM-SB001-03,longitude,124.31
CE02SHSM-SB001-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-SB001-03,Relative Depth,Sea Surface
CE02SHSM-SB001-04,depth_port_max,-3
CE02SHSM-SB001-04,depth_port_min,-3
CE02SHSM-SB001-04,depth_subsite,80
CE02SHSM-SB001-04,First Deployment Date,2014-10
CE02SHSM-SB001-04,latitude,44.64
CE02SHSM-SB001-04,longitude,124.31
CE02SHSM-SB001-04,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-SB001-04,Relative Depth,~3m above sea surface
CE02SHSM-SB001-05,depth_port_max,1
CE02SHSM-SB001-05,depth_port_min,1
