Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
FDCLP,Flux direct cov LP - DEPRECATED,ClassLongName,flux_direct_cov_LP
FDCLP,Flux direct cov LP - DEPRECATED,Comments,
FDCLP,Flux direct cov LP - DEPRECATED,CP Spares,
FDCLP,Flux direct cov LP - DEPRECATED,Description,Measures vertical fluxes associated with eddies in the flow over the ocean - DEPRECATED
FDCLP,Flux direct cov LP - DEPRECATED,ECRs that changed the count,1300-00318
FDCLP,Flux direct cov LP - DEPRECATED,Global Spares,
FDCLP,Flux direct cov LP - DEPRECATED,Instrument Configuration,
FDCLP,Flux direct cov LP - DEPRECATED,Link to the Specification,
FDCLP,Flux direct cov LP - DEPRECATED,Notes,
FDCLP,Flux direct cov LP - DEPRECATED,PrimaryScienceDiscipline,P
FDCLP,Flux direct cov LP - DEPRECATED,Produces Acoustic Interference,
FDCLP,Flux direct cov LP - DEPRECATED,Ready for 2013?,Maybe
FDCLP,Flux direct cov LP - DEPRECATED,RSN O&M Spares,
FDCLP,Flux direct cov LP - DEPRECATED,RSN Part Number,
FDCLP,Flux direct cov LP - DEPRECATED,Susceptible to Acoustic Interference,
FDCLP,Flux direct cov LP - DEPRECATED,"Vendor CLIN, SubCLIN or Model #",
FLOBN,Benthic Flow,2009 Baseline Price*,
FLOBN,Benthic Flow,2009 Deployed Instrument Count,1
FLOBN,Benthic Flow,Alternate Instrument Class Name,Benthic Fluid Flow
FLOBN,Benthic Flow,CE Spares,
FLOBN,Benthic Flow,CGSN MREFC Spares,
FLOBN,Benthic Flow,CGSN O&M Spares,
FLOBN,Benthic Flow,CGSN P/N,
FLOBN,Benthic Flow,ClassLongName,flow_benthic
FLOBN,Benthic Flow,Comments,
FLOBN,Benthic Flow,CP Spares,
FLOBN,Benthic Flow,Description,Benthic fluid flow rate sampler. Measures benthic flow rates via optical injection tracer at the sediment-water interface
FLOBN,Benthic Flow,ECRs that changed the count,
FLOBN,Benthic Flow,Global Spares,
FLOBN,Benthic Flow,Instrument Configuration,
FLOBN,Benthic Flow,Link to the Specification,
FLOBN,Benthic Flow,Notes,
