Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE02SHSM-RI002-02-VELPTA999,VELPT,depth_port_max,5
CE02SHSM-RI002-02-VELPTA999,VELPT,depth_port_min,5
CE02SHSM-RI002-02-VELPTA999,VELPT,depth_subsite,80
CE02SHSM-RI002-02-VELPTA999,VELPT,First Deployment Date,2014-10
CE02SHSM-RI002-02-VELPTA999,VELPT,latitude,44.64
CE02SHSM-RI002-02-VELPTA999,VELPT,longitude,124.31
CE02SHSM-RI002-02-VELPTA999,VELPT,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-02-VELPTA999,VELPT,Relative Depth,5m below sea surface
CE02SHSM-RI002-03-PHSEND999,PHSEN,depth_port_max,5
CE02SHSM-RI002-03-PHSEND999,PHSEN,depth_port_min,5
CE02SHSM-RI002-03-PHSEND999,PHSEN,depth_subsite,80
CE02SHSM-RI002-03-PHSEND999,PHSEN,First Deployment Date,2014-10
CE02SHSM-RI002-03-PHSEND999,PHSEN,latitude,44.64
CE02SHSM-RI002-03-PHSEND999,PHSEN,longitude,124.31
CE02SHSM-RI002-03-PHSEND999,PHSEN,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
