Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
OBS,Ocean Bottom Seismometer,CGSN P/N,
OBS,Ocean Bottom Seismometer,ClassLongName,
OBS,Ocean Bottom Seismometer,Comments,
OBS,Ocean Bottom Seismometer,CP Spares,
OBS,Ocean Bottom Seismometer,Description,
OBS,Ocean Bottom Seismometer,ECRs that changed the count,
OBS,Ocean Bottom Seismometer,Global Spares,
OBS,Ocean Bottom Seismometer,Instrument Configuration,
OBS,Ocean Bottom Seismometer,Link to the Specification,
OBS,Ocean Bottom Seismometer,Notes,
OBS,Ocean Bottom Seismometer,PrimaryScienceDiscipline,
OBS,Ocean Bottom Seismometer,Produces Acoustic Interference,
OBS,Ocean Bottom Seismometer,Ready for 2013?,
OBS,Ocean Bottom Seismometer,RSN O&M Spares,
OBS,Ocean Bottom Seismometer,RSN Part Number,
OBS,Ocean Bottom Seismometer,Susceptible to Acoustic Interference,
OBS,Ocean Bottom Seismometer,"Vendor CLIN, SubCLIN or Model #",
OPT,Optical Properties,2009 Baseline Price*,
OPT,Optical Properties,2009 Deployed Instrument Count,
OPT,Optical Properties,Alternate Instrument Class Name,
OPT,Optical Properties,CE Spares,
OPT,Optical Properties,CGSN MREFC Spares,
OPT,Optical Properties,CGSN O&M Spares,
OPT,Optical Properties,CGSN P/N,
OPT,Optical Properties,ClassLongName,
OPT,Optical Properties,Comments,
OPT,Optical Properties,CP Spares,
OPT,Optical Properties,Description,
OPT,Optical Properties,ECRs that changed the count,
OPT,Optical Properties,Global Spares,
OPT,Optical Properties,Instrument Configuration,
OPT,Optical Properties,Link to the Specification,
OPT,Optical Properties,Notes,
OPT,Optical Properties,PrimaryScienceDiscipline,
OPT,Optical Properties,Produces Acoustic Interference,
OPT,Optical Properties,Ready for 2013?,
OPT,Optical Properties,RSN O&M Spares,
OPT,Optical Properties,RSN Part Number,
OPT,Optical Properties,Susceptible to Acoustic Interference,
OPT,Optical Properties,"Vendor CLIN, SubCLIN or Model #",
PAR,PAR,2009 Baseline Price*,
PAR,PAR,2009 Deployed Instrument Count,
PAR,PAR,Alternate Instrument Class Name,
PAR,PAR,CE Spares,
PAR,PAR,CGSN MREFC Spares,
PAR,PAR,CGSN O&M Spares,
PAR,PAR,CGSN P/N,
PAR,PAR,ClassLongName,
PAR,PAR,Comments,
PAR,PAR,CP Spares,
PAR,PAR,Description,
PAR,PAR,ECRs that changed the count,
PAR,PAR,Global Spares,
PAR,PAR,Instrument Configuration,
PAR,PAR,Link to the Specification,
PAR,PAR,Notes,
PAR,PAR,PrimaryScienceDiscipline,
PAR,PAR,Produces Acoustic Interference,
PAR,PAR,Ready for 2013?,
PAR,PAR,RSN O&M Spares,
PAR,PAR,RSN Part Number,
PAR,PAR,Susceptible to Acoustic Interference,
PAR,PAR,"Vendor CLIN, SubCLIN or Model #",
PHS,pH,2009 Baseline Price*,
PHS,pH,2009 Deployed Instrument Count,
PHS,pH,Alternate Instrument Class Name,
PHS,pH,CE Spares,
PHS,pH,CGSN MREFC Spares,
PHS,pH,CGSN O&M Spares,
PHS,pH,CGSN P/N,
PHS,pH,ClassLongName,
PHS,pH,Comments,
PHS,pH,CP Spares,
PHS,pH,Description,
PHS,pH,ECRs that changed the count,
PHS,pH,Global Spares,
PHS,pH,Instrument Configuration,
PHS,pH,Link to the Specification,
PHS,pH,Notes,
PHS,pH,PrimaryScienceDiscipline,
PHS,pH,Produces Acoustic Interference,
PHS,pH,Ready for 2013?,
PHS,pH,RSN O&M Spares,
PHS,pH,RSN Part Number,
PHS,pH,Susceptible to Acoustic Interference,
PHS,pH,"Vendor CLIN, SubCLIN or Model #",
PRS,Seafloor Pressure,2009 Baseline Price*,
PRS,Seafloor Pressure,2009 Deployed Instrument Count,
PRS,Seafloor Pressure,Alternate Instrument Class Name,
PRS,Seafloor Pressure,CE Spares,
PRS,Seafloor Pressure,CGSN MREFC Spares,
PRS,Seafloor Pressure,CGSN O&M Spares,
PRS,Seafloor Pressure,CGSN P/N,
PRS,Seafloor Pressure,ClassLongName,
PRS,Seafloor Pressure,Comments,
PRS,Seafloor Pressure,CP Spares,
PRS,Seafloor Pressure,Description,
PRS,Seafloor Pressure,ECRs that changed the count,
PRS,Seafloor Pressure,Global Spares,
PRS,Seafloor Pressure,Instrument Configuration,
PRS,Seafloor Pressure,Link to the Specification,
PRS,Seafloor Pressure,Notes,
PRS,Seafloor Pressure,PrimaryScienceDiscipline,
PRS,Seafloor Pressure,Produces Acoustic Interference,
PRS,Seafloor Pressure,Ready for 2013?,
PRS,Seafloor Pressure,RSN O&M Spares,
PRS,Seafloor Pressure,RSN Part Number,
PRS,Seafloor Pressure,Susceptible to Acoustic Interference,
PRS,Seafloor Pressure,"Vendor CLIN, SubCLIN or Model #",
RAS,Seafloor Fluid and DNA,2009 Baseline Price*,
RAS,Seafloor Fluid and DNA,2009 Deployed Instrument Count,
RAS,Seafloor Fluid and DNA,Alternate Instrument Class Name,
RAS,Seafloor Fluid and DNA,CE Spares,
RAS,Seafloor Fluid and DNA,CGSN MREFC Spares,
RAS,Seafloor Fluid and DNA,CGSN O&M Spares,
RAS,Seafloor Fluid and DNA,CGSN P/N,
RAS,Seafloor Fluid and DNA,ClassLongName,
RAS,Seafloor Fluid and DNA,Comments,
