Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
CE02SHSM-RI002-05-CTDBPC999,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),002,05,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CE04OSSM-RI002-05-CTDBPC999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,05,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CE06ISSM-RI003-01-CTDBPC999,Endurance WA Inshore Surface Mooring,06,ISSM,RI (Mooring Riser),003,01,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,Shore CyberPoP - Coastal Mooring Server,,,
CE06ISSM-MF005-01-CTDBPC999,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,01,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,Shore CyberPoP - Coastal Mooring Server,,,
CE07SHSM-RI002-05-CTDBPC999,Endurance WA Shelf Surface Mooring,07,SHSM,RI (Mooring Riser),002,05,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CE07SHSM-MF004-05-CTDBPC999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),004,05,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CE09OSSM-RI002-05-CTDBPC999,Endurance WA Offshore Surface Mooring,09,OSSM,RI (Mooring Riser),002,05,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CP01CNSM-RI002-03-CTDBPC999,Pioneer Central Surface Mooring,01,CNSM,RI (Mooring Riser),002,03,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2013-11,InSitu CyberPoP - Surface Mooring Platform Controller,,,
CP03ISSM-RI003-04-CTDBPC999,Pioneer Inshore Surface Mooring,03,ISSM,RI (Mooring Riser),003,04,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-09,Shore CyberPoP - Coastal Mooring Server,,,
CP04OSSM-RI003-04-CTDBPC999,Pioneer Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,04,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,,,
