Textbox8,tbToday
Instrument Classes By Location With Data Product Info,Report Generated: 11/1/2012

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeTypeName,LNode_NodeSequence,SClass_Description,SClass_PublicID,Data_Product,DPS_DCN
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Fluorometer three wavelength,FLORT,CDOMFLO,DCN 1341-00550
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Fluorometer three wavelength,FLORT,CHLAFLO,DCN 1341-00530
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Fluorometer three wavelength,FLORT,FLUBSCT,DCN 1341-00540
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Nutrient nitrate,NUTNR,NITROPT,DCN 1341-00620
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,OPTABSN,DCN 1341-00700
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,OPTATTN,DCN 1341-00690
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,OPTCREF,"DCN 1341-00690, DCN 1341-00700"
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,OPTCSIG,"DCN 1341-00690, DCN 1341-00700"
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,OPTTEMP,"DCN 1341-00690, DCN 1341-00700"
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,spectral irradiance,SPKIR,OPTATTS,DCN 1341-00740
CE02SHSM-RI003,Endurance OR Shelf Surface Mooring,02,SHSM,RI (Mooring Riser),003,spectral irradiance,SPKIR,SPECTIR,DCN 1341-00730
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,FLUXHOT,DCN 1341-00330
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,FLUXMOM,DCN 1341-00320
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,FLUXWET,DCN 1341-00340
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,MOISTUR,DCN 1341-00300
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,MOTFLUX,DCN 1341-00301
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,RELHUMI,"DCN 1341-00280 (FDCHP), DCN 1341-00360 (METBK)"
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,TMPATUR,DCN 1341-00290
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Flux direct cov HP,FDCHP,WINDTUR,DCN 1341-00310
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,BARPRES,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,CONDSRF,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,LONGIRR,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,WINDAVG,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,SPECHUM,DCN 1341-00370
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,TEMPAIR,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,TEMPSRF,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,PRECIPM,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,RELHUMI,"DCN 1341-00280 (FDCHP), DCN 1341-00360 (METBK)"
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,Meteorology bulk,METBK,SHRTIRR,DCN 1341-00360
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,CO2FLUX,DCN 1341-00270
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,PCO2ATM,DCN 1341-00260
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,PCO2SSW,DCN 1341-00260
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,PRESAIR,DCN 1341-00260
CE02SHSM-SB001,Endurance OR Shelf Surface Mooring,02,SHSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,XCO2ATM,DCN 1341-00260
