Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
ADCPT,M,ADCPT Series M,PrimaryScienceDiscipline,P
ADCPT,M,ADCPT Series M,Produces Acoustic Interference,
ADCPT,M,ADCPT Series M,Ready for 2013?,
ADCPT,M,ADCPT Series M,RSN O&M Spares,
ADCPT,M,ADCPT Series M,RSN Part Number,
ADCPT,M,ADCPT Series M,Susceptible to Acoustic Interference,Yes
ADCPT,M,ADCPT Series M,"Vendor CLIN, SubCLIN or Model #",
BOTPT,A,BOTPT Series A,2009 Baseline Price*,
BOTPT,A,BOTPT Series A,2009 Deployed Instrument Count,3
BOTPT,A,BOTPT Series A,Alternate Instrument Class Name,Bottom Pressure and Tilt
BOTPT,A,BOTPT Series A,CE Spares,
BOTPT,A,BOTPT Series A,CGSN MREFC Spares,
BOTPT,A,BOTPT Series A,CGSN O&M Spares,
BOTPT,A,BOTPT Series A,CGSN P/N,
BOTPT,A,BOTPT Series A,ClassLongName,pressure_bottom_tilt
BOTPT,A,BOTPT Series A,Comments,
BOTPT,A,BOTPT Series A,CP Spares,
BOTPT,A,BOTPT Series A,Description,Measures seafloor inflation and deflation due to magmatic processes
BOTPT,A,BOTPT Series A,ECRs that changed the count,
BOTPT,A,BOTPT Series A,Global Spares,
BOTPT,A,BOTPT Series A,Instrument Configuration,
BOTPT,A,BOTPT Series A,Link to the Specification,
BOTPT,A,BOTPT Series A,Notes,
BOTPT,A,BOTPT Series A,PrimaryScienceDiscipline,G
BOTPT,A,BOTPT Series A,Produces Acoustic Interference,
BOTPT,A,BOTPT Series A,Ready for 2013?,
BOTPT,A,BOTPT Series A,RSN O&M Spares,
BOTPT,A,BOTPT Series A,RSN Part Number,
BOTPT,A,BOTPT Series A,Susceptible to Acoustic Interference,
BOTPT,A,BOTPT Series A,"Vendor CLIN, SubCLIN or Model #",
CAMDS,A,CAMDS Series A,2009 Baseline Price*,"$55,590.00"
CAMDS,A,CAMDS Series A,2009 Deployed Instrument Count,9
CAMDS,A,CAMDS Series A,Alternate Instrument Class Name,Digital Still Camera with Strobes
CAMDS,A,CAMDS Series A,CE Spares,
CAMDS,A,CAMDS Series A,CGSN MREFC Spares,
CAMDS,A,CAMDS Series A,CGSN O&M Spares,
CAMDS,A,CAMDS Series A,CGSN P/N,
CAMDS,A,CAMDS Series A,ClassLongName,camera_digital_still_strobe
CAMDS,A,CAMDS Series A,Comments,
CAMDS,A,CAMDS Series A,CP Spares,
CAMDS,A,CAMDS Series A,Description,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna"
CAMDS,A,CAMDS Series A,ECRs that changed the count,ECR 1300-00177
CAMDS,A,CAMDS Series A,Global Spares,
CAMDS,A,CAMDS Series A,Instrument Configuration,
CAMDS,A,CAMDS Series A,Link to the Specification,
CAMDS,A,CAMDS Series A,Notes,
CAMDS,A,CAMDS Series A,PrimaryScienceDiscipline,B
CAMDS,A,CAMDS Series A,Produces Acoustic Interference,
CAMDS,A,CAMDS Series A,Ready for 2013?,No. Waiver 1303-00956.
CAMDS,A,CAMDS Series A,RSN O&M Spares,
CAMDS,A,CAMDS Series A,RSN Part Number,
CAMDS,A,CAMDS Series A,Susceptible to Acoustic Interference,
CAMDS,A,CAMDS Series A,"Vendor CLIN, SubCLIN or Model #",
CAMDS,B,CAMDS Series B,2009 Baseline Price*,"$55,590.00"
CAMDS,B,CAMDS Series B,2009 Deployed Instrument Count,9
CAMDS,B,CAMDS Series B,Alternate Instrument Class Name,Digital Still Camera with Strobes
CAMDS,B,CAMDS Series B,CE Spares,
CAMDS,B,CAMDS Series B,CGSN MREFC Spares,
CAMDS,B,CAMDS Series B,CGSN O&M Spares,
CAMDS,B,CAMDS Series B,CGSN P/N,
CAMDS,B,CAMDS Series B,ClassLongName,camera_digital_still_strobe
CAMDS,B,CAMDS Series B,Comments,
CAMDS,B,CAMDS Series B,CP Spares,
CAMDS,B,CAMDS Series B,Description,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna"
CAMDS,B,CAMDS Series B,ECRs that changed the count,ECR 1300-00177
CAMDS,B,CAMDS Series B,Global Spares,
CAMDS,B,CAMDS Series B,Instrument Configuration,
CAMDS,B,CAMDS Series B,Link to the Specification,
CAMDS,B,CAMDS Series B,Notes,
CAMDS,B,CAMDS Series B,PrimaryScienceDiscipline,B
CAMDS,B,CAMDS Series B,Produces Acoustic Interference,
CAMDS,B,CAMDS Series B,Ready for 2013?,
CAMDS,B,CAMDS Series B,RSN O&M Spares,
CAMDS,B,CAMDS Series B,RSN Part Number,
CAMDS,B,CAMDS Series B,Susceptible to Acoustic Interference,
CAMDS,B,CAMDS Series B,"Vendor CLIN, SubCLIN or Model #",
CAMDS,C,CAMDS Series C,2009 Baseline Price*,"$55,590.00"
CAMDS,C,CAMDS Series C,2009 Deployed Instrument Count,9
CAMDS,C,CAMDS Series C,Alternate Instrument Class Name,Digital Still Camera with Strobes
CAMDS,C,CAMDS Series C,CE Spares,
CAMDS,C,CAMDS Series C,CGSN MREFC Spares,
CAMDS,C,CAMDS Series C,CGSN O&M Spares,
CAMDS,C,CAMDS Series C,CGSN P/N,
CAMDS,C,CAMDS Series C,ClassLongName,camera_digital_still_strobe
CAMDS,C,CAMDS Series C,Comments,
CAMDS,C,CAMDS Series C,CP Spares,
CAMDS,C,CAMDS Series C,Description,"Ethernet Camera with strobes for digital still imagery of water column biology, vents, diffuse flow, seeps, macrofauna"
CAMDS,C,CAMDS Series C,ECRs that changed the count,ECR 1300-00177
CAMDS,C,CAMDS Series C,Global Spares,
CAMDS,C,CAMDS Series C,Instrument Configuration,
CAMDS,C,CAMDS Series C,Link to the Specification,
