Textbox8,tbToday
Data QC Lookup Tables (With DP Levels),Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_PublicID,SClass_PublicID,ReferenceDesignator,Data_Product_With_Level
CE,PCO2W,CE04OSBP-LJ01C-09-PCO2WB104,CO2ABS1 (L0)
CE,PCO2W,CE04OSBP-LJ01C-09-PCO2WB104,CO2ABS2 (L0)
CE,PCO2W,CE04OSBP-LJ01C-09-PCO2WB104,CO2THRM (L0)
CE,PCO2W,CE04OSBP-LJ01C-09-PCO2WB104,PCO2WAT (L1)
CE,PHSEN,CE04OSBP-LJ01C-10-PHSEND107,ABSTHRM (L0)
CE,PHSEN,CE04OSBP-LJ01C-10-PHSEND107,PH434SI (L0)
CE,PHSEN,CE04OSBP-LJ01C-10-PHSEND107,PH578SI (L0)
CE,PHSEN,CE04OSBP-LJ01C-10-PHSEND107,PHWATER (L1)
CE,HYDBB,CE04OSBP-LJ01C-11-HYDBBA105,HYDAPBB (L0)
CE,HYDBB,CE04OSBP-LJ01C-11-HYDBBA105,HYDAPBB (L1)
CE,HYDBB,CE04OSBP-LJ01C-11-HYDBBA105,HYDFRBB (L0)
CE,HYDBB,CE04OSBP-LJ01C-11-HYDBBA105,HYDFRBB (L1)
CE,CAMDS,CE04OSBP-LJ01C-12-CAMDSB106,CAMSTIL (L1)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,CONDWAT (L0)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,CONDWAT (L1)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,DENSITY (L2)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,PRACSAL (L2)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,PRESWAT (L0)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,PRESWAT (L1)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,TEMPWAT (L0)
CE,CTDPF,CE04OSHY-DP01B-01-CTDPFL105,TEMPWAT (L1)
CE,VEL3D,CE04OSHY-DP01B-02-VEL3DA105,VELPTMN (L0)
CE,VEL3D,CE04OSHY-DP01B-02-VEL3DA105,VELPTMN (L1)
CE,VEL3D,CE04OSHY-DP01B-02-VEL3DA105,VELPTTU (L0)
