Textbox8,tbToday,Textbox2
Instrument Classes By Location,Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeTypeName,LNode_NodeSequence,SClass_Description,SClass_PublicID,SSeries_PublicID,SSubseries_PublicID,MMInstrument_Manufacturer,MMInstrument_PublicID,SensorCount
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Nutrient nitrate,NUTNR,B,01,Satlantic,ISUS,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,Meteorology bulk,METBK,A,01,Star Engineering,ASIMET,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,pCO2 air-sea,PCO2A,A,01,Pro-Oceanus,pCO2-pro,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,Wave spectra surface,WAVSS,A,01,Axys Technologies,TRIAXYS,1
CE04OSSM-SB001,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,Velocity point,VELPT,A,01,Nortek,Aquadopp 300m,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL001,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL002,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,Velocity profile Mobile Asset,ADCPA,M,01,Teledyne RDI,Explorer DVL 600 kHz,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,CTD Glider,CTDGV,M,01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,Oxygen dissolved stable,DOSTA,M,01,Aanderaa,Optode 4831,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,Fluorometer three wavelength,FLORT,M,01,WET Labs,ECO Puck FLBBCD-SLK,1
CE05MOAS-GL003,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,PAR,PARAD,M,01,Biospherical Instruments,QSP-2155,1
